-1.1902,0.5967,9.1240,-0.0681,-0.7681,1.2443
-1.1981,0.5807,9.1591,-0.2104,-0.5649,2.0573
-1.2460,0.6174,9.1431,-0.2104,-0.6665,1.9557
-1.2428,0.6078,9.1830,-0.0681,0.1262,0.8175
-1.2747,0.6031,9.1096,0.0335,0.0042,0.8581
-1.2859,0.5695,9.1256,0.0538,-0.5445,1.1630
-1.2939,0.5664,9.1607,-0.0681,-0.9917,1.4272
-1.3640,0.5664,9.1495,-0.0478,-0.0364,1.3459
-1.3305,0.5839,9.1112,0.0335,-0.1380,0.8175
-1.3082,0.5552,9.1431,0.0132,-0.3210,1.0004
-1.3002,0.5759,9.1319,-0.0071,-0.4226,1.1020
-1.2460,0.5887,9.0984,0.0132,-0.5039,1.1427
-1.2252,0.5759,9.1383,0.0538,-0.0974,1.0817
-1.2556,0.5823,9.1638,0.0538,-0.1380,0.9598
-1.2109,0.6110,9.1272,0.0132,-0.2803,1.0207
-1.1806,0.6078,9.1176,-0.0071,-0.2803,0.9598
-1.2412,0.6413,9.1176,-0.0071,-0.2397,1.0614
-1.2444,0.5935,9.1224,-0.0071,-0.1990,1.0817
-1.2811,0.6078,9.1288,-0.0071,-0.4632,1.0614
-1.3066,0.5903,9.1016,-0.0071,-0.3616,1.3053
-1.2779,0.5983,9.1638,-0.0275,-0.0974,1.1427
-1.3162,0.5983,9.1463,-0.0275,-0.1787,0.9598
-1.3784,0.5775,9.1288,0.0132,-0.2600,1.1020
-1.3210,0.5664,9.1272,-0.0071,-0.4226,1.0411
-1.2970,0.5664,9.1335,-0.0071,-0.2803,1.1427
-1.2827,0.5695,9.1431,0.0335,-0.1584,1.0207
-1.2667,0.5584,9.1734,-0.0071,-0.3006,1.1020
-1.2508,0.5887,9.1208,-0.1291,-0.5039,1.4882
-1.2460,0.5680,9.1702,-0.1494,-0.7884,1.8744
-1.2109,0.6015,9.1559,-0.1697,-0.6258,1.9354
-1.1886,0.6270,9.1654,-0.0478,-0.4226,1.5289
-1.2268,0.6046,9.1638,-0.0478,-0.2600,1.0004
-1.2508,0.6062,9.1623,-0.0275,-0.2193,1.0614
